,type,year,tuition_type,tuition_cost,tuition_2,avg_tuition,1_year_change_tuition,total_change_tuition,cpi,1_year_change_cpi,total_change_cpi
70,Private,2001-02,4 Year Current,22896,22896,22896,4.758418740849191,12968.0,177.1,2.8455284552845628,64.59107806691449
71,Private,2001-02,2 Year Current,15825,15825,15825,6.158180720466899,9313.0,177.1,2.8455284552845628,64.59107806691449
72,All Institutions,2002-03,All Constant,16008,16708,16358,3.2962869411467643,5227.0,179.9,1.5810276679842028,67.19330855018589
73,All Institutions,2002-03,4 Year Constant,19240,20081,19660,3.5881764055008203,7118.0,179.9,1.5810276679842028,67.19330855018589
74,All Institutions,2002-03,2 Year Constant,8331,8695,8513,7.0010055304172925,841.0,179.9,1.5810276679842028,67.19330855018589
75,All Institutions,2002-03,All Current,12014,12014,12014,5.571177504393665,7129.0,179.9,1.5810276679842028,67.19330855018589
76,All Institutions,2002-03,4 Year Current,14439,14439,14439,5.865532663685014,8935.0,179.9,1.5810276679842028,67.19330855018589
77,All Institutions,2002-03,2 Year Current,6252,6252,6252,9.338929695697807,2885.0,179.9,1.5810276679842028,67.19330855018589
78,Public,2002-03,All Constant,11328,11824,11576,3.7090127217344504,3438.0,179.9,1.5810276679842028,67.19330855018589
79,Public,2002-03,4 Year Constant,13042,13612,13327,4.141595686489019,4535.0,179.9,1.5810276679842028,67.19330855018589
80,Public,2002-03,2 Year Constant,7464,7790,7627,6.686249825150381,835.0,179.9,1.5810276679842028,67.19330855018589
81,Public,2002-03,All Current,8502,8502,8502,5.983545250560951,4931.0,179.9,1.5810276679842028,67.19330855018589
82,Public,2002-03,4 Year Current,9787,9787,9787,6.426707264027831,5928.0,179.9,1.5810276679842028,67.19330855018589
83,Public,2002-03,2 Year Current,5601,5601,5601,9.032509246642007,2620.0,179.9,1.5810276679842028,67.19330855018589
84,Private,2002-03,All Constant,31101,32461,31781,1.8981051011574657,11536.0,179.9,1.5810276679842028,67.19330855018589
85,Private,2002-03,4 Year Constant,31696,33082,32389,1.6603892027620804,11361.0,179.9,1.5810276679842028,67.19330855018589
86,Private,2002-03,2 Year Constant,23656,24690,24173,9.772489896008363,9335.0,179.9,1.5810276679842028,67.19330855018589
87,Private,2002-03,All Current,23340,23340,23340,4.13599250435015,14455.0,179.9,1.5810276679842028,67.19330855018589
88,Private,2002-03,4 Year Current,23787,23787,23787,3.891509433962259,13859.0,179.9,1.5810276679842028,67.19330855018589
89,Private,2002-03,2 Year Current,17753,17753,17753,12.18325434439178,11241.0,179.9,1.5810276679842028,67.19330855018589
90,All Institutions,2003-04,All Constant,16891,17629,17260,5.514121530749483,6129.0,184.0,2.2790439132851503,71.00371747211896
91,All Institutions,2003-04,4 Year Constant,20218,21103,20660,5.086469989827069,8118.0,184.0,2.2790439132851503,71.00371747211896
92,All Institutions,2003-04,2 Year Constant,8743,9125,8934,4.945377657699979,1262.0,184.0,2.2790439132851503,71.00371747211896
93,All Institutions,2003-04,All Current,12953,12953,12953,7.815881471616448,8068.0,184.0,2.2790439132851503,71.00371747211896
94,All Institutions,2003-04,4 Year Current,15505,15505,15505,7.382782741187066,10001.0,184.0,2.2790439132851503,71.00371747211896
95,All Institutions,2003-04,2 Year Current,6705,6705,6705,7.24568138195778,3338.0,184.0,2.2790439132851503,71.00371747211896
96,Public,2003-04,All Constant,12057,12585,12321,6.435729094678644,4183.0,184.0,2.2790439132851503,71.00371747211896
97,Public,2003-04,4 Year Constant,13919,14527,14223,6.723193516920545,5431.0,184.0,2.2790439132851503,71.00371747211896
98,Public,2003-04,2 Year Constant,7840,8182,8011,5.034744984921979,1219.0,184.0,2.2790439132851503,71.00371747211896
99,Public,2003-04,All Current,9247,9247,9247,8.762644083745009,5676.0,184.0,2.2790439132851503,71.00371747211896
100,Public,2003-04,4 Year Current,10674,10674,10674,9.063042811893318,6815.0,184.0,2.2790439132851503,71.00371747211896
101,Public,2003-04,2 Year Current,6012,6012,6012,7.3379753615425924,3031.0,184.0,2.2790439132851503,71.00371747211896
102,Private,2003-04,All Constant,32109,33513,32811,3.2409301154777914,12566.0,184.0,2.2790439132851503,71.00371747211896
103,Private,2003-04,4 Year Constant,32690,34120,33405,3.1368674550001474,12377.0,184.0,2.2790439132851503,71.00371747211896
104,Private,2003-04,2 Year Constant,25503,26619,26061,7.810366938319602,11223.0,184.0,2.2790439132851503,71.00371747211896
105,Private,2003-04,All Current,24624,24624,24624,5.501285347043705,15739.0,184.0,2.2790439132851503,71.00371747211896
106,Private,2003-04,4 Year Current,25070,25070,25070,5.393702442510606,15142.0,184.0,2.2790439132851503,71.00371747211896
107,Private,2003-04,2 Year Current,19558,19558,19558,10.16729566833774,13046.0,184.0,2.2790439132851503,71.00371747211896
108,All Institutions,2004-05,All Constant,17460,18224,17842,3.3719582850521457,6711.0,188.9,2.6630434782608736,75.55762081784388
109,All Institutions,2004-05,4 Year Constant,20899,21813,21356,3.368828654404643,8814.0,188.9,2.6630434782608736,75.55762081784388
110,All Institutions,2004-05,2 Year Constant,8982,9374,9178,2.7311394672039357,1506.0,188.9,2.6630434782608736,75.55762081784388
111,All Institutions,2004-05,All Current,13793,13793,13793,6.484984173550523,8908.0,188.9,2.6630434782608736,75.55762081784388
112,All Institutions,2004-05,4 Year Current,16510,16510,16510,6.481780070944865,11006.0,188.9,2.6630434782608736,75.55762081784388
113,All Institutions,2004-05,2 Year Current,7095,7095,7095,5.8165548098433995,3728.0,188.9,2.6630434782608736,75.55762081784388
114,Public,2004-05,All Constant,12487,13033,12760,3.5630224819414025,4622.0,188.9,2.6630434782608736,75.55762081784388
115,Public,2004-05,4 Year Constant,14463,15096,14779,3.9091612177458934,5987.0,188.9,2.6630434782608736,75.55762081784388
116,Public,2004-05,2 Year Constant,8070,8423,8246,2.9334664835850788,1454.0,188.9,2.6630434782608736,75.55762081784388
117,Public,2004-05,All Current,9864,9864,9864,6.672434303017205,6293.0,188.9,2.6630434782608736,75.55762081784388
118,Public,2004-05,4 Year Current,11426,11426,11426,7.04515645493724,7567.0,188.9,2.6630434782608736,75.55762081784388
119,Public,2004-05,2 Year Current,6375,6375,6375,6.0379241516966164,3394.0,188.9,2.6630434782608736,75.55762081784388
120,Private,2004-05,All Constant,32680,34110,33395,1.779890890250213,13150.0,188.9,2.6630434782608736,75.55762081784388
121,Private,2004-05,4 Year Constant,33241,34695,33968,1.6853764406525862,12940.0,188.9,2.6630434782608736,75.55762081784388
122,Private,2004-05,2 Year Constant,25694,26817,26255,0.7444073519818906,11417.0,188.9,2.6630434782608736,75.55762081784388
123,Private,2004-05,All Current,25817,25817,25817,4.844866796621172,16932.0,188.9,2.6630434782608736,75.55762081784388
124,Private,2004-05,4 Year Current,26260,26260,26260,4.74670921420024,16332.0,188.9,2.6630434782608736,75.55762081784388
125,Private,2004-05,2 Year Current,20297,20297,20297,3.7785049596073206,13785.0,188.9,2.6630434782608736,75.55762081784388
126,All Institutions,2005-06,All Constant,17845,18625,18235,2.202667862347263,7104.0,195.3,3.388035997882488,81.50557620817845
127,All Institutions,2005-06,4 Year Constant,21281,22211,21746,1.8261846787787972,9204.0,195.3,3.388035997882488,81.50557620817845
128,All Institutions,2005-06,2 Year Constant,8824,9209,9016,-1.7650904336456774,1344.0,195.3,3.388035997882488,81.50557620817845
129,All Institutions,2005-06,All Current,14634,14634,14634,6.0972957297179775,9749.0,195.3,3.388035997882488,81.50557620817845
130,All Institutions,2005-06,4 Year Current,17451,17451,17451,5.699576014536634,11947.0,195.3,3.388035997882488,81.50557620817845
131,All Institutions,2005-06,2 Year Current,7236,7236,7236,1.9873150105708337,3869.0,195.3,3.388035997882488,81.50557620817845
132,Public,2005-06,All Constant,12748,13306,13027,2.0924764890282166,4889.0,195.3,3.388035997882488,81.50557620817845
133,Public,2005-06,4 Year Constant,14765,15411,15088,2.0908045199269143,6296.0,195.3,3.388035997882488,81.50557620817845
134,Public,2005-06,2 Year Constant,7916,8262,8089,-1.9039534319670093,1297.0,195.3,3.388035997882488,81.50557620817845
135,Public,2005-06,All Current,10454,10454,10454,5.981346309813462,6883.0,195.3,3.388035997882488,81.50557620817845
136,Public,2005-06,4 Year Current,12108,12108,12108,5.968842989672685,8249.0,195.3,3.388035997882488,81.50557620817845
137,Public,2005-06,2 Year Current,6492,6492,6492,1.8352941176470683,3511.0,195.3,3.388035997882488,81.50557620817845
138,Private,2005-06,All Constant,32812,34247,33529,0.40125767330438933,13284.0,195.3,3.388035997882488,81.50557620817845
139,Private,2005-06,4 Year Constant,33330,34788,34059,0.2678991992463464,13031.0,195.3,3.388035997882488,81.50557620817845
140,Private,2005-06,2 Year Constant,26101,27242,26671,1.5844601028375482,11833.0,195.3,3.388035997882488,81.50557620817845
141,Private,2005-06,All Current,26908,26908,26908,4.225897664329703,18023.0,195.3,3.388035997882488,81.50557620817845
142,Private,2005-06,4 Year Current,27333,27333,27333,4.086062452399086,17405.0,195.3,3.388035997882488,81.50557620817845
143,Private,2005-06,2 Year Current,21404,21404,21404,5.454007981475084,14892.0,195.3,3.388035997882488,81.50557620817845
144,All Institutions,2006-07,All Constant,18404,19212,18808,3.142308746915279,7677.0,201.6,3.2258064516129004,87.36059479553904
145,All Institutions,2006-07,4 Year Constant,21956,22918,22437,3.177595879702011,9895.0,201.6,3.2258064516129004,87.36059479553904
146,All Institutions,2006-07,2 Year Constant,8874,9264,9069,0.5878438331854419,1397.0,201.6,3.2258064516129004,87.36059479553904
147,All Institutions,2006-07,All Current,15483,15486,15484,5.808391417247516,10599.0,201.6,3.2258064516129004,87.36059479553904
148,All Institutions,2006-07,4 Year Current,18471,18473,18472,5.850667583519575,12968.0,201.6,3.2258064516129004,87.36059479553904
149,All Institutions,2006-07,2 Year Current,7466,7467,7466,3.1785516860143748,4099.0,201.6,3.2258064516129004,87.36059479553904
150,All Institutions,2007-08,All Constant,18604,19413,19008,1.063377286261158,7877.0,207.342,2.84821428571429,92.69702602230485
